"Title","Year","Link","Author Keywords"
"Investigating the Lack of Translation from Cruzain Inhibition to Trypanosoma cruzi Activity with Machine Learning and Chemical Space Analyses","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147201619&doi=10.1002%2fcmdc.202200434&partnerID=40&md5=dbca077408ca0122a9964e159b1f6f17","chemical space; cruzain; machine learning; Trypanosoma cruzi"
"Instantaneous Gelation of a Self-Healable Wide-Bandgap Semiconducting Supramolecular Mg(II)-Metallohydrogel: An Efficient Nonvolatile Memory Design with Supreme Endurance","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163449725&doi=10.1021%2facsaelm.3c00376&partnerID=40&md5=7ec89610ef88cb3cdf65c61a6a6ef436","LMWG; mg(II)-metallohydrogel; microstructure; resistive switching application; self-healing; semiconducting property"
"Electrostatic flocking assisted aligned boron nitride platelets scaffold for enhancing the through-plane thermal conductivity of flexible thermal interface materials","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152657831&doi=10.1016%2fj.ceramint.2023.04.044&partnerID=40&md5=9200e23c100160d58bf8da215b405c38","Boron nitride; Electrostatic flocking; Epoxy; Thermal conductivity"
"Bioceramic and polycationic biopolymer nanocomposite scaffolds for improved wound self-healing and anti-inflammatory properties: an in vitro study","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153850749&doi=10.1039%2fd3bm00169e&partnerID=40&md5=3b00f60fe731c6c6c18734bb64f0c216",""
"Schwann cell-matrix coated PCL-MWCNT multifunctional nanofibrous scaffolds for neural regeneration","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146060689&doi=10.1039%2fd2ra05368c&partnerID=40&md5=a8aace4f41da66c4ca3fae7f9c866690",""
"Design of Novel Mechanically Resistant and Biodegradable Multichannel Platforms for the Treatment of Peripheral Nerve Injuries","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150444565&doi=10.1021%2facs.biomac.2c01498&partnerID=40&md5=a4e3c7db06cecd6bf86c459b234a368c",""
"Photoactive Yellow Protein Adsorption at Hydrated Polyethyleneimine and Poly-l-Glutamic Acid Interfaces","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160610843&doi=10.3390%2fmolecules28104077&partnerID=40&md5=c4badc93059ac289d73455e3ee5992b9","layer-by-layer deposition; photoactive yellow protein; poly-l-glutamic acid; polyelectrolyte; polyethyleneimine; vibrational sum frequency generation spectroscopy"
"Facile fabrication of CdS and CdSe quantum dots sensitized solar cells with TiO2 nanocrystals/nanorods electron transport scaffold and SiO2 passivating film","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151160315&doi=10.1007%2fs10854-023-10162-x&partnerID=40&md5=375132b4464a2636001dc58cdbfc21de",""
"Robust Alcohol Soluble Polyurethane/Chitosan/Silk Sericin (APU/CS/SS) Nanofiber Scaffolds Toward Artificial Skin Extracellular Matrices via Microfluidic Blow-Spinning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141125941&doi=10.1007%2fs42765-022-00227-7&partnerID=40&md5=ab7e9d1f9a7315ccc18ba678a9a930b8","Antibacterial; Mechanical stabilities; Microfluidic blow-spinning; Nanofiber scaffolds; Protein structural transformation; Skin regeneration"
"Evaluation of osteogenic differentiation of human mesenchymal stem cells (hMSCs) on random and aligned polycaprolactone-polyaniline-gelatin scaffolds","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152111515&doi=10.34172%2fbi.2022.23713&partnerID=40&md5=ce9b96b220006d3689c39d88d48b728d","Electrospinning; Gelatin; Mesenchymal stem cells; Osteoblast differentiation; Polyaniline; Polycaprolactone"
